priority,task_name_exact,task_name_contains,task_name_regex,category,offset_workdays
# Task-specific overrides (higher priority)
10,,,Process and record Payroll,,4
10,,,Payroll Processing,,4
20,,,Trial Balance,,2
20,,,Period Close,,1
# Category-based defaults (lower priority)
100,,,,Payroll & Personnel,3
110,,,,Tax & Provisions,3
120,,,,Rent & Leases,3
130,,,,Accruals & Expenses,3
140,,,,Prior Period Review,4
150,,,,Amortization & Corporate,3
160,,,,Corporate Accruals,3
170,,,,Insurance,3
180,,,,Treasury & Other,3
190,,,,Regional Reporting,2
200,,,,Client Billings,4
210,,,,WIP/OOP Management,4
220,,,,AR Aging - WC,3
230,,,,CA Liquidations,3
240,,,,AP Aging - WC,3
250,,,,OOP,4
260,,,,Asset & Lease Entries,5
270,,,,Reclassifications,2
280,,,,VAT & Taxes,2
290,,,,Accruals & Assets,3
300,,,,AP Aging,3
310,,,,Expense Reclassification,2
320,,,,VAT Reporting,2
330,,,,Job Transfers,2
340,,,,Accruals,3
350,,,,WIP,4
# Fallback for unmatched tasks
999,,,,Other,2
