module,status,stage,error_summary,file_line,fix_recommendation
ipai_advisor,PASS,static,All static checks passed,,
ipai_ask_ai,PASS,static,All static checks passed,,
ipai_ask_ai_chatter,PASS,static,All static checks passed,,
ipai_assets,PASS,static,All static checks passed,,
ipai_bir_compliance,PASS,static,All static checks passed,,
ipai_bir_tax_compliance,PASS,static,All static checks passed,,
ipai_ce_branding,PASS,static,All static checks passed,,
ipai_ce_cleaner,PASS,static,All static checks passed,,
ipai_clarity_ppm_parity,PASS,static,All static checks passed,,
ipai_close_orchestration,PASS,static,All static checks passed,,
ipai_crm_pipeline,PASS,static,All static checks passed,,
ipai_custom_routes,PASS,static,All static checks passed,,
ipai_default_home,PASS,static,All static checks passed,,
ipai_dev_studio_base,PASS,static,All static checks passed,,
ipai_equipment,PASS,static,All static checks passed,,
ipai_expense,PASS,static,All static checks passed,,
ipai_finance_bir_compliance,PASS,static,All static checks passed,,
ipai_finance_close_automation,PASS,static,All static checks passed,,
ipai_finance_close_seed,PASS,static,All static checks passed,,
ipai_finance_closing,PASS,static,All static checks passed,,
ipai_finance_month_end,PASS,static,All static checks passed,,
ipai_finance_monthly_closing,PASS,static,All static checks passed,,
ipai_finance_ppm,PASS,static,All static checks passed,,
ipai_finance_ppm_closing,PASS,static,All static checks passed,,
ipai_finance_ppm_dashboard,PASS,static,All static checks passed,,
ipai_finance_ppm_golive,PASS,static,All static checks passed,,
ipai_finance_ppm_tdi,PASS,static,All static checks passed,,
ipai_finance_ppm_umbrella,PASS,static,All static checks passed,,
ipai_finance_project_hybrid,PASS,static,All static checks passed,,
ipai_grid_view,PASS,static,All static checks passed,,
ipai_industry_accounting_firm,PASS,static,All static checks passed,,
ipai_industry_marketing_agency,PASS,static,All static checks passed,,
ipai_master_control,PASS,static,All static checks passed,,
ipai_month_end,PASS,static,All static checks passed,,
ipai_month_end_closing,PASS,static,All static checks passed,,
ipai_ocr_gateway,PASS,static,All static checks passed,,
ipai_platform_approvals,PASS,static,All static checks passed,,
ipai_platform_audit,PASS,static,All static checks passed,,
ipai_platform_permissions,PASS,static,All static checks passed,,
ipai_platform_theme,PASS,static,All static checks passed,,
ipai_platform_workflow,PASS,static,All static checks passed,,
ipai_portal_fix,PASS,static,All static checks passed,,
ipai_ppm,PASS,static,All static checks passed,,
ipai_ppm_a1,PASS,static,All static checks passed,,
ipai_ppm_monthly_close,PASS,static,All static checks passed,,
ipai_project_program,PASS,static,All static checks passed,,
ipai_sms_gateway,PASS,static,All static checks passed,,
ipai_srm,PASS,static,All static checks passed,,
ipai_studio_ai,PASS,static,All static checks passed,,
ipai_superset_connector,PASS,static,All static checks passed,,
ipai_tbwa_finance,PASS,static,All static checks passed,,
ipai_theme_tbwa_backend,PASS,static,All static checks passed,,
ipai_web_theme_chatgpt,PASS,static,All static checks passed,,
ipai_workos_affine,PASS,static,All static checks passed,,
ipai_workos_blocks,PASS,static,All static checks passed,,
ipai_workos_canvas,PASS,static,All static checks passed,,
ipai_workos_collab,PASS,static,All static checks passed,,
ipai_workos_core,PASS,static,All static checks passed,,
ipai_workos_db,PASS,static,All static checks passed,,
ipai_workos_search,PASS,static,All static checks passed,,
ipai_workos_templates,PASS,static,All static checks passed,,
ipai_workos_views,PASS,static,All static checks passed,,
ipai_workspace_core,PASS,static,All static checks passed,,
