id,name,color
ipai_seed.tag_phase_1,Phase I: Initial & Compliance,1
ipai_seed.tag_phase_2,Phase II: Accruals & Amortization,2
ipai_seed.tag_phase_3,Phase III: WIP,3
ipai_seed.tag_phase_4,Phase IV: Final Adjustments,4
ipai_seed.tag_payroll_personnel,Payroll & Personnel,5
ipai_seed.tag_tax_provisions,Tax & Provisions,6
ipai_seed.tag_rent_leases,Rent & Leases,7
ipai_seed.tag_accruals_expenses,Accruals & Expenses,8
ipai_seed.tag_prior_period_review,Prior Period Review,9
ipai_seed.tag_amortization_corporate,Amortization & Corporate,10
ipai_seed.tag_corporate_accruals,Corporate Accruals,1
ipai_seed.tag_insurance,Insurance,2
ipai_seed.tag_treasury_other,Treasury & Other,3
ipai_seed.tag_regional_reporting,Regional Reporting,4
ipai_seed.tag_client_billings,Client Billings,5
ipai_seed.tag_wip_oop_management,WIP/OOP Management,6
ipai_seed.tag_ar_aging_wc,AR Aging - WC,7
ipai_seed.tag_ca_liquidations,CA Liquidations,8
ipai_seed.tag_ap_aging_wc,AP Aging - WC,9
ipai_seed.tag_oop,OOP,10
ipai_seed.tag_asset_lease_entries,Asset & Lease Entries,1
ipai_seed.tag_reclassifications,Reclassifications,2
ipai_seed.tag_vat_taxes,VAT & Taxes,3
ipai_seed.tag_accruals_assets,Accruals & Assets,4
ipai_seed.tag_ap_aging,AP Aging,5
ipai_seed.tag_expense_reclassification,Expense Reclassification,6
ipai_seed.tag_vat_reporting,VAT Reporting,7
ipai_seed.tag_job_transfers,Job Transfers,8
ipai_seed.tag_accruals,Accruals,9
ipai_seed.tag_wip,WIP,10
ipai_seed.tag_bir_1601c,BIR 1601-C,1
ipai_seed.tag_bir_0619e,BIR 0619-E,2
ipai_seed.tag_bir_2550m,BIR 2550M,3
ipai_seed.tag_bir_2550q,BIR 2550Q,4
ipai_seed.tag_bir_1601eq,BIR 1601-EQ,5
ipai_seed.tag_bir_1702rt,BIR 1702-RT,6
