module_name,state,category
ipai_platform_approvals,uninstalled,platform
ipai_platform_audit,installed,platform
ipai_platform_permissions,installed,platform
ipai_platform_theme,uninstalled,platform
ipai_platform_workflow,uninstalled,platform
ipai_workos_affine,installed,workos
ipai_workos_blocks,installed,workos
ipai_workos_canvas,installed,workos
ipai_workos_collab,installed,workos
ipai_workos_core,installed,workos
ipai_workos_db,installed,workos
ipai_workos_search,installed,workos
ipai_workos_templates,installed,workos
ipai_workos_views,installed,workos
