module,version,branch,repo,status,category,finance_ppm,description
project_stage_closed,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Stage Management,yes,"Locks stages in Kanban view - prevents stage reordering"
project_task_stage_mgmt,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Stage Management,yes,"Assign and create task stages when creating a project"
project_task_stage_state,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Stage Management,yes,"Associates state to stage for automated actions (draft/open/pending/done)"
project_task_default_stage,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Stage Management,yes,"Default stage assignment for new projects"
project_template,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Templates,yes,"Project templates for Finance PPM and Month-end close patterns"
project_task_template,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Templates,yes,"Task templates for standardized close activities"
project_timeline,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Views,yes,"Timeline/Gantt view for PPM deadlines"
project_timeline_hr_timesheet,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Views,yes,"Show task progress on timeline from timesheets"
project_timesheet_time_control,18.0.1.0.5,18.0,https://github.com/OCA/project,available,Timesheet,yes,"Control and track time spent on tasks"
project_type,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Classification,yes,"Categorize projects by type (Finance PPM vs others)"
project_version,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Classification,no,"Versioning of projects/scenarios"
project_task_code,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Task Fields,yes,"Task coding/numbering for Finance PPM tracking"
project_task_dependency,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Dependencies,yes,"Task dependencies (FS/SS/FF/SF) for close sequencing"
project_task_recurring,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Recurring,yes,"Recurring tasks for monthly close cycles"
project_task_milestone,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Planning,yes,"Milestone management for key deliverables"
project_task_add_very_high,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Priority,no,"Adds very high priority option"
project_task_pull_request,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Development,no,"Link tasks to GitHub/GitLab PRs"
project_task_digitized_signature,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Signatures,no,"Digital signature on tasks"
project_task_material,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Materials,no,"Track materials used on tasks"
project_task_stock,18.0.1.1.0,18.0,https://github.com/OCA/project,available,Stock,no,"Stock movements from project tasks"
project_task_tag,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Tags,no,"Enhanced tag management"
project_role,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Roles,no,"Define roles on projects"
project_parent_task_filter,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Views,no,"Filter by parent tasks"
project_key,18.0.1.0.0,18.0,https://github.com/OCA/project,available,References,no,"Project key/code field"
project_purchase_link,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Purchasing,no,"Link projects to purchase orders"
project_sale_link,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Sales,no,"Link projects to sale orders"
project_stock_product_set,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Stock,no,"Product sets for projects"
project_stage_extra_info,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Stage Management,no,"Extra information on stages"
sale_project_copy_tasks,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Sales,yes,"Copy tasks into projects from sale orders"
sale_project_task_recurrency,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Sales,yes,"Recurring task patterns from sales"
sale_project_task_selection,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Sales,no,"Manual selection of tasks on sale lines"
project_wbs,18.0.1.0.0,18.0,https://github.com/OCA/project,available,Planning,yes,"Work Breakdown Structure for complex PPM hierarchies"
